GameId,Game_Name,Game_Genres,Playtime_Seconds
105600,Terraria,"Action, Adventure, Indie, RPG",34
218680,Scribblenauts Unlimited,"Adventure, Casual, Strategy",90
219340,The Banner Saga: Factions,"Free to Play, Indie, RPG, Strategy",11
230410,Warframe,"Action, RPG, Free to Play",293
238960,Path of Exile,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free to Play",29
258700,Dragon Nest Europe,"Action, Adventure, Free to Play, Massively Multiplayer, RPG",1227
248570,Toribash,"Action, Free to Play, Indie, Strategy",555
216150,MapleStory,"Action, Adventure, Casual, Massively Multiplayer, RPG, Free to Play",17040
242760,The Forest,"Action, Adventure, Indie, Simulation",806
239820,Game Dev Tycoon,"Casual, Indie, Simulation, Strategy",356
269210,Hero Siege,"Action, Adventure, Indie, Massively Multiplayer, RPG",25
271590,Grand Theft Auto V,"Action, Adventure",17
311690,Enter the Gungeon,"Action, Adventure, Indie",20
215080,WAKFU,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Free to Play",7705
268420,Aura Kingdom,"Adventure, Casual, Free to Play, Massively Multiplayer, RPG",402
730,Counter-Strike 2,"Action, Free to Play",4265
346110,ARK: Survival Evolved,"Action, Adventure, Indie, Massively Multiplayer, RPG",98
407530,ARK: Survival Of The Fittest,"Action, Adventure, Indie, Massively Multiplayer, RPG, Strategy",0
365670,Blender,"Animation & Modeling, Design & Illustration, Video Production",0
367500,Dragon's Dogma: Dark Arisen,"Action, Adventure, RPG",90
322330,Don't Starve Together,"Action, Adventure, Indie, RPG, Simulation, Strategy",2634
261570,Ori and the Blind Forest,Action,0
387290,Ori and the Blind Forest: Definitive Edition,Action,37
291550,Brawlhalla,"Action, Indie, Free to Play",36
413150,Stardew Valley,"Indie, RPG, Simulation",3944
359550,Tom Clancy's Rainbow Six Siege,Action,10283
623990,Tom Clancy's Rainbow Six Siege - Test Server,"

Under £7


Under £4

",0
431960,Wallpaper Engine,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",125
433340,Slime Rancher,"Action, Adventure, Indie, Simulation",0
444090,Paladins,"Action, Adventure, Massively Multiplayer, Strategy, Free to Play",95
596350,Paladins - Public Test,"

Under £7


Under £4

",0
504230,Celeste,"Action, Adventure, Indie",945
319630,Life is Strange™,"Action, Adventure",0
593280,Cat Quest,"Action, Adventure, Casual, Indie, RPG",204
632360,Risk of Rain 2,"Action, Indie",883
204300,Awesomenauts,"Action, Free to Play, Indie, Strategy",18
736260,Baba Is You,Indie,205
858210,Nova Drift,"Action, Indie, Early Access",1265
714010,Aimlabs,"Action, Adventure, Casual, Indie, Simulation, Free to Play",5560
914710,Cat Quest II,"Action, Adventure, Indie, RPG",286
962580,Summer in Mara,"Adventure, Casual, Simulation",8
1113000,Persona 4 Golden,RPG,829
1172470,Apex Legends,"Action, Adventure, Free to Play",157
1172620,Sea of Thieves,"Action, Adventure",1010
1145360,Hades,"Action, Indie, RPG",2048
582010,Monster Hunter: World,Action,305
1290000,PowerWash Simulator,"Casual, Indie, Simulation",608
441380,PAC-MAN™ CHAMPIONSHIP EDITION 2,Casual,0
1304930,The Outlast Trials,"Action, Adventure, Indie",1221
1326470,Sons Of The Forest,"Action, Adventure, Indie, Simulation",837
1587710,Fossil Corner,"Casual, Indie, Simulation",298
1607680,Bread & Fred,"Action, Adventure, Casual, Indie",30
1687950,Persona 5 Royal,RPG,76
1714040,Super Auto Pets,"Free to Play, Strategy",1633
1240440,Halo Infinite,"Action, Free to Play",0
1850570,DEATH STRANDING DIRECTOR'S CUT,"Action, Adventure",2416
1446780,MONSTER HUNTER RISE,Action,5914
1961460,Project Playtime,"Action, Indie, Free to Play, Early Access",0
1966720,Lethal Company,"Action, Adventure, Indie, Early Access",716
1987080,Inside the Backrooms,"Adventure, Indie, Early Access",482
2073850,THE FINALS,"Action, Free to Play",5849
1938090,Call of Duty®,Action,1792
1364780,Street Fighter™ 6,"Action, Adventure",1168
6000,STAR WARS™ Republic Commando,Action,141
